contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPY260130C00597000,2025-11-14 18:02:57+00:00,597.0,85.08,91.38,94.51,0.0,0.0,1.0,3,0.41138283935546877,True,REGULAR,USD
SPY260130C00598000,2025-12-29 14:44:08+00:00,598.0,93.23,90.42,93.53,0.2400055,0.25809819,1.0,5,0.40833111206054684,True,REGULAR,USD
SPY260130C00599000,2025-12-17 17:17:51+00:00,599.0,78.29,89.41,92.54,0.0,0.0,1.0,8,0.4050352465820312,True,REGULAR,USD
SPY260130C00600000,2025-12-26 20:13:07+00:00,600.0,93.37,88.47,91.56,0.0,0.0,1.0,318,0.4019835192871094,True,REGULAR,USD
SPY260130C00601000,2025-12-01 20:11:30+00:00,601.0,85.39,87.44,90.57,0.0,0.0,1.0,6,0.3986876538085938,True,REGULAR,USD
SPY260130C00602000,2025-12-26 15:01:17+00:00,602.0,91.65,86.45,89.59,0.0,0.0,1.0,9,0.39563592651367196,True,REGULAR,USD
SPY260130C00603000,2025-12-18 14:42:36+00:00,603.0,76.36,85.47,88.6,0.0,0.0,2.0,61,0.39234006103515623,True,REGULAR,USD
SPY260130C00604000,2025-12-18 18:59:58+00:00,604.0,77.2,84.48,87.62,0.0,0.0,1.0,30,0.3892883337402344,True,REGULAR,USD
SPY260130C00605000,2025-12-19 16:25:59+00:00,605.0,79.19,83.53,86.63,0.0,0.0,3.0,151,0.3859619509887695,True,REGULAR,USD
SPY260130C00606000,2025-11-21 18:32:53+00:00,606.0,64.89,82.52,85.65,0.0,0.0,2.0,5,0.3828797064208984,True,REGULAR,USD
SPY260130C00607000,2025-11-24 17:41:57+00:00,607.0,70.76,81.58,84.67,0.0,0.0,1.0,4,0.3797669445800781,True,REGULAR,USD
SPY260130C00608000,2025-12-03 17:23:20+00:00,608.0,80.76,80.58,83.69,0.0,0.0,7.0,18,0.376684700012207,True,REGULAR,USD
SPY260130C00609000,2025-12-03 17:18:49+00:00,609.0,79.35,79.61,82.7,0.0,0.0,11.0,79,0.3733583172607422,True,REGULAR,USD
SPY260130C00610000,2025-12-26 14:50:36+00:00,610.0,84.49,78.59,81.72,0.0,0.0,1.0,109,0.3702455554199219,True,REGULAR,USD
SPY260130C00611000,2025-12-22 21:11:38+00:00,611.0,78.03,77.65,80.74,0.0,0.0,1.0,58,0.36713279357910156,True,REGULAR,USD
SPY260130C00612000,2025-12-16 15:22:21+00:00,612.0,70.02,76.65,79.23,0.0,0.0,4.0,31,0.35193519165039056,True,REGULAR,USD
SPY260130C00613000,2025-11-28 18:08:11+00:00,613.0,76.15,75.66,78.79,0.0,0.0,2.0,2,0.3610903735351562,True,REGULAR,USD
SPY260130C00614000,2025-12-18 14:43:04+00:00,614.0,65.87,74.7,77.81,0.0,0.0,2.0,73,0.3579165771484375,True,REGULAR,USD
SPY260130C00615000,2025-12-23 14:42:00+00:00,615.0,74.6,73.72,76.83,0.0,0.0,7.0,433,0.35480381530761707,True,REGULAR,USD
SPY260130C00616000,2025-12-18 17:24:28+00:00,616.0,62.86,72.75,75.85,0.0,0.0,8.0,15,0.3516300189208984,True,REGULAR,USD
SPY260130C00617000,2025-12-18 14:44:06+00:00,617.0,63.04,71.78,74.87,0.0,0.0,4.0,68,0.3484562225341796,True,REGULAR,USD
