contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPY260130P00638000,2025-12-29 16:14:33+00:00,638.0,1.45,1.43,1.45,0.060000062,4.316551,12.0,577,0.17957363403320312,False,REGULAR,USD
SPY260130P00639000,2025-12-29 16:11:02+00:00,639.0,1.53,1.48,1.49,0.049999952,3.378375,15.0,4795,0.1779257012939453,False,REGULAR,USD
SPY260130P00640000,2025-12-29 16:56:01+00:00,640.0,1.53,1.52,1.54,0.049999952,3.378375,90.0,13365,0.17652190673828128,False,REGULAR,USD
SPY260130P00641000,2025-12-29 16:55:43+00:00,641.0,1.58,1.57,1.59,-0.00999999,-0.6289302,7.0,948,0.1749960430908203,False,REGULAR,USD
SPY260130P00642000,2025-12-29 16:15:14+00:00,642.0,1.65,1.62,1.64,0.09000003,5.769233,29.0,590,0.17347017944335938,False,REGULAR,USD
SPY260130P00643000,2025-12-29 16:10:02+00:00,643.0,1.75,1.67,1.69,0.08000004,4.7904215,4.0,313,0.17188328125000002,False,REGULAR,USD
SPY260130P00644000,2025-12-29 16:11:02+00:00,644.0,1.8,1.73,1.75,0.03999996,2.272725,8.0,981,0.17054052124023442,False,REGULAR,USD
SPY260130P00645000,2025-12-29 16:52:26+00:00,645.0,1.8,1.79,1.8,0.059999943,3.4482725,66.0,2594,0.16883155395507815,False,REGULAR,USD
SPY260130P00646000,2025-12-29 14:48:12+00:00,646.0,1.94,1.84,1.86,0.1500001,8.379893,4.0,17976,0.16730569030761722,False,REGULAR,USD
SPY260130P00647000,2025-12-29 16:40:33+00:00,647.0,2.0,1.9,1.92,0.19000006,10.497241,8.0,1209,0.16577982666015628,False,REGULAR,USD
SPY260130P00648000,2025-12-29 16:40:20+00:00,648.0,2.04,1.96,1.98,0.13,6.806283,2956.0,3325,0.16413189392089844,False,REGULAR,USD
SPY260130P00649000,2025-12-29 16:42:29+00:00,649.0,2.1,2.03,2.05,0.12999988,6.5989785,42.0,615,0.16272809936523439,False,REGULAR,USD
SPY260130P00650000,2025-12-29 16:50:23+00:00,650.0,2.15,2.1,2.12,0.11000013,5.3921633,2120.0,19029,0.16120223571777342,False,REGULAR,USD
SPY260130P00651000,2025-12-29 16:54:05+00:00,651.0,2.18,2.17,2.19,0.1400001,6.8627505,18.0,442,0.15961533752441404,False,REGULAR,USD
SPY260130P00652000,2025-12-29 16:11:39+00:00,652.0,2.32,2.25,2.27,0.16999984,7.906969,13.0,396,0.15821154296875,False,REGULAR,USD
SPY260130P00653000,2025-12-29 16:33:08+00:00,653.0,2.35,2.32,2.34,0.15999985,7.3059287,96.0,677,0.15647205841064454,False,REGULAR,USD
SPY260130P00654000,2025-12-29 16:51:48+00:00,654.0,2.43,2.41,2.42,0.120000124,5.194811,20.0,384,0.1549156774902344,False,REGULAR,USD
SPY260130P00655000,2025-12-29 16:54:05+00:00,655.0,2.51,2.49,2.51,0.109999895,4.5833287,482.0,30364,0.15348136566162113,False,REGULAR,USD
SPY260130P00656000,2025-12-29 16:54:05+00:00,656.0,2.6,2.59,2.6,0.119999886,4.838705,30.0,583,0.1519555020141602,False,REGULAR,USD
SPY260130P00657000,2025-12-29 16:54:29+00:00,657.0,2.71,2.68,2.69,0.17000008,6.6929164,72.0,463,0.1503686038208008,False,REGULAR,USD
SPY260130P00658000,2025-12-29 16:50:57+00:00,658.0,2.81,2.78,2.79,0.20000005,7.662837,25.0,573,0.14887325744628904,False,REGULAR,USD
